date,pv
2004-11-08,7078135.791157436
2004-11-09,7082575.454485609
2004-11-10,7088588.155702012
2004-11-11,7087184.539462117
2004-11-12,7094942.538264843
2004-11-15,7094942.538264843
2004-11-16,7111605.782000322
2004-11-17,7116097.4828094905
2004-11-18,7129416.7742489055
2004-11-19,7113566.146734687
2004-11-22,7121518.046835457
2004-11-23,7128935.885405427
2004-11-24,7135432.63009306
2004-11-25,7127564.882266293
2004-11-26,7127564.882266293
2004-11-29,7137841.367285814
2004-11-30,7134585.1198526835
2004-12-01,7122530.085180697
2004-12-02,7129363.866932824
2004-12-03,7140365.631176898
2004-12-06,7127950.55469299
2004-12-07,7124381.981939217
2004-12-08,7113463.271909473
2004-12-09,7108766.527337486
2004-12-10,7113441.333379888
2004-12-13,7135260.212557025
2004-12-14,7154591.22547733
2004-12-15,7152683.526629144
2004-12-16,7170720.3829832515
2004-12-17,7168128.061948608
2004-12-20,7187008.860241407
2004-12-21,7196230.955005181
2004-12-22,7170830.625498765
2004-12-23,7170745.216905982
2004-12-24,7168592.511811911
2004-12-27,7178896.67358455
2004-12-28,7179402.351827763
2004-12-29,7165327.589555665
2004-12-30,7136838.151678567
2004-12-31,7177751.689859913
2005-01-03,7195887.866322464
2005-01-04,7194387.654696117
2005-01-05,7131757.401990683
2005-01-06,7101322.720818531
2005-01-07,7123572.407954543
2005-01-10,7127326.884259801
2005-01-11,7114220.585258443
2005-01-12,7057003.458138725
2005-01-13,7105532.57616133
2005-01-14,7102403.458616327
2005-01-17,7092066.711101617
2005-01-18,7099064.522193399
2005-01-19,7096988.632349139
2005-01-20,7079075.243322433
2005-01-24,7077115.490375371
2005-01-25,7089439.835120472
2005-01-27,7124060.665699699
2005-01-28,7129853.6517126
2005-01-31,7147130.145967683
2005-02-01,7163101.960766802
2005-02-02,7176938.880421876
2005-02-03,7188236.182032852
2005-02-04,7191158.334317056
2005-02-07,7187118.058277082
2005-02-08,7212125.779082693
2005-02-09,7213880.541313855
2005-02-10,7207628.215996044
2005-02-11,7227378.872806876
2005-02-14,7232935.006828964
2005-02-15,7211894.046907519
2005-02-16,7187871.161626153
2005-02-17,7186263.477835909
2005-02-18,7183006.979154682
2005-02-21,7163708.579711789
2005-02-22,7169541.420623099
2005-02-23,7164115.3583914405
2005-02-24,7179043.992849124
2005-02-25,7160347.1930730725
2005-02-28,7176708.096032802
2005-03-01,7183102.027038233
2005-03-02,7197676.38021741
2005-03-03,7213745.214253814
2005-03-04,7205067.41983971
2005-03-07,7200522.000442953
2005-03-08,7193838.7998540765
2005-03-09,7185690.736645345
2005-03-10,7213256.566525136
2005-03-11,7206541.293143575
2005-03-14,7193513.617410425
2005-03-15,7173497.667436049
2005-03-16,7160806.026150438
2005-03-17,7169000.736267918
2005-03-18,7144854.4510926455
2005-03-21,7144410.678979221
2005-03-22,7100839.836798482
2005-03-23,7044752.738224503
2005-03-24,7017262.680267885
2005-03-28,7044183.943438775
2005-03-29,7002168.817020889
2005-03-30,7031890.412111371
2005-03-31,7071378.883788427
2005-04-01,7103386.182025161
2005-04-04,7134411.897592758
2005-04-05,7113755.991228702
2005-04-06,7118655.1280877115
2005-04-07,7106943.274118896
2005-04-08,7056355.299461824
2005-04-11,7035270.7878258405
2005-04-12,7039067.884646792
2005-04-13,7042204.626671554
2005-04-15,7019516.279054165
2005-04-18,6998772.416753712
2005-04-19,7016911.25674991
2005-04-20,7016326.548337463
2005-04-21,7041242.261290691
2005-04-22,7056710.391403936
2005-04-25,7068805.3723838115
2005-04-26,7067397.108415395
2005-04-27,7071439.199982223
2005-04-28,7067934.34140892
2005-04-29,7053719.826219546
2005-05-02,7045390.553347218
2005-05-03,7042685.196471078
2005-05-04,7053185.664084202
2005-05-05,7064054.651132608
2005-05-06,7060760.434555596
2005-05-09,7076537.627789177
2005-05-10,7076260.765860782
2005-05-11,7078504.774258904
2005-05-12,7113553.140240479
2005-05-13,7150034.836912878
2005-05-16,7155898.601293633
2005-05-17,7130394.871286203
2005-05-18,7133824.733710433
2005-05-19,7131464.174600214
2005-05-20,7126342.462577378
2005-05-23,7152398.164702424
2005-05-24,7145996.48292103
2005-05-25,7151509.546183013
2005-05-26,7157172.512804546
2005-05-27,7140399.837251352
2005-05-30,7115860.201283426
2005-05-31,7139010.274320262
2005-06-01,7156735.905112813
2005-06-02,7144555.701127169
2005-06-03,7174871.290991213
2005-06-06,7202569.909327186
2005-06-07,7200549.177969829
2005-06-08,7194984.851942248
2005-06-09,7209824.581316064
2005-06-10,7205204.392100262
2005-06-13,7095161.023196257
2005-06-14,7240759.234389018
2005-06-15,7246276.962975982
2005-06-16,7241281.910553572
2005-06-17,7201447.696396956
2005-06-20,7182905.280148132
2005-06-21,7192601.13377421
2005-06-22,7190464.38932465
2005-06-23,7223234.291905458
2005-06-24,7248270.350739696
2005-06-27,7255545.744359207
2005-06-28,7212634.574240881
2005-06-29,7254221.895688974
2005-06-30,7260988.490806636
2005-07-01,7268788.644925552
2005-07-04,7299015.694987926
2005-07-05,7323989.021454961
2005-07-06,7365150.253329656
2005-07-07,7350953.8629131
2005-07-08,7418581.198496617
2005-07-11,7484715.263591741
2005-07-12,7492855.630160628
2005-07-13,7553530.476900152
2005-07-14,7563764.337748983
2005-07-15,7597838.027671879
2005-07-18,7719570.46234961
2005-07-19,7756315.573929863
2005-07-20,7745058.075330969
2005-07-21,7791040.739647335
2005-07-22,7811258.037867727
2005-07-25,7824120.925022897
2005-07-26,7794321.860493041
2005-07-27,7782194.896725258
2005-07-28,11131007.716341315
2005-07-29,7702089.185195751
2005-08-01,7727930.14180693
2005-08-02,7783778.561931817
2005-08-03,7790270.2649284275
2005-08-04,7797839.83864432
2005-08-05,7814412.187885795
2005-08-08,7782519.1295614885
2005-08-09,7819367.102017853
2005-08-10,7896043.591606539
2005-08-11,7916774.522983237
2005-08-12,7897859.362720731
2005-08-16,7945535.073446329
2005-08-17,7959118.486777765
2005-08-18,7921475.661009685
2005-08-19,7916012.209971973
2005-08-22,7915016.976715575
2005-08-23,7853855.273168098
2005-08-24,7837500.633837152
2005-08-25,7868704.062814907
2005-08-26,7880374.142854625
2005-08-29,7857699.8469150355
2005-08-30,7916916.394354307
2005-08-31,7972051.264689415
2005-09-01,8004981.482297998
2005-09-02,8045155.45962626
2005-09-05,8050175.360392718
2005-09-06,8062806.303373069
2005-09-08,8114195.43614367
2005-09-09,8074206.785573549
2005-09-12,8133840.427945295
2005-09-13,8163226.296169412
2005-09-14,8113016.933835845
2005-09-15,8141855.09545979
2005-09-16,8152373.874933215
2005-09-19,8214722.998028312
2005-09-20,8246366.278792351
2005-09-21,8190432.556797564
2005-09-22,7965065.18581374
2005-09-23,7980731.166338565
2005-09-26,8077872.828805387
2005-09-27,8096433.067969191
2005-09-28,8122768.582635323
2005-09-29,8098351.100431565
2005-09-30,8117656.73340808
2005-10-03,8168467.500195244
2005-10-04,8219864.807927038
2005-10-05,8222476.225938565
2005-10-06,8177774.794776508
2005-10-07,8152103.772969999
2005-10-10,8130773.896840915
2005-10-11,8115271.966591195
2005-10-13,8095426.916272025
2005-10-14,8019032.479375669
2005-10-17,8004604.753708761
2005-10-18,7990629.911483805
2005-10-19,7897999.076407163
2005-10-20,7856538.848557477
2005-10-21,7899645.332595481
2005-10-24,7912562.548337928
2005-10-25,7903774.430692144
2005-10-26,7911216.6334111
2005-10-27,7918537.388423838
2005-10-28,7895750.28458858
2005-10-31,7922493.890669424
2005-11-02,7919626.301208593
2005-11-04,7919626.301208593
2005-11-07,7929852.9944713935
2005-11-08,7945154.519235677
2005-11-09,7917429.994338696
2005-11-10,7922195.514936498
2005-11-11,7976241.133925963
2005-11-14,8007678.641995622
2005-11-16,8056436.977203254
2005-11-17,8051913.04827083
2005-11-18,8031405.854574815
2005-11-21,8014608.059607584
2005-11-22,7995722.642048373
2005-11-23,8002336.008706859
2005-11-24,8034139.075048925
2005-11-25,8034360.813157748
2005-11-28,8063865.33939785
2005-11-29,8075830.12397414
2005-11-30,8083742.178996587
2005-12-01,8100121.499684114
2005-12-02,8111086.824850259
2005-12-05,8112513.0269650975
2005-12-06,8109054.200036651
2005-12-07,8118120.067019663
2005-12-08,8138975.76815529
2005-12-09,8134486.344813612
2005-12-12,8128571.823049892
2005-12-13,8116708.504243117
2005-12-14,8103772.714088849
2005-12-15,8084169.185282124
2005-12-16,8088715.01318319
2005-12-19,8143416.17627666
2005-12-20,8143522.656605681
2005-12-21,8167910.862005914
2005-12-22,8167671.865394617
2005-12-23,8141773.529284361
2005-12-26,8109100.638177818
2005-12-27,8123066.791449709
2005-12-28,8112653.429298028
2005-12-29,8145288.580382842
2005-12-30,8155680.971133497
2006-01-02,8197074.39076242
2006-01-03,8248033.342249222
2006-01-04,8261345.251004291
2006-01-05,8274765.30103484
2006-01-06,8298896.310966812
